,date,gender,age,lat,lng,url
4589,2013-05-11,M,40.0,39.2908608,-76.6108073,http://data.baltimoresun.com/homicides/victim/1526/
4590,2013-05-11,F,,34.7736807,-86.5675095,http://murder-suicide.blogspot.com/2013/05/domestic-dispute-ends-with-2-dead-1.html
4591,2013-05-11,M,,34.7736807,-86.5675095,http://murder-suicide.blogspot.com/2013/05/domestic-dispute-ends-with-2-dead-1.html
4592,2013-05-11,M,19.0,37.3859982,-77.578509,http://wtvr.com/2013/05/14/matthew-mcdaniel-shooting/
4593,2013-05-11,M,29.0,37.541239,-77.4420183,http://www.timesdispatch.com/article_1f6bf272-bb6b-11e2-8523-0019bb30f31a.html
4594,2013-05-11,M,28.0,34.7309642,-92.27611273323879,http://www.commercialappeal.com/news/2013/may/12/police-id-victim-suspect-lr-road-rage-death/
4595,2013-05-11,M,18.0,42.3486635,-83.0567375,https://sites.google.com/site/chamgreensite/home/detriot-homicides/may-2013/may-10-2013-detroit-24-hour-major-crime-summary-report
4596,2013-05-11,M,47.0,39.577847,-82.2376489,http://www.dispatch.com/content/stories/local/2013/05/12/12-hocking-county-standoff.html
4597,2013-05-11,F,49.0,39.577847,-82.2376489,http://www.dispatch.com/content/stories/local/2013/05/12/12-hocking-county-standoff.html
4598,2013-05-11,M,,35.6009498,-82.5540161,http://www.nbc26.tv/story/22229843/3-dead-in-buncombe-county-domestic-dispute
4599,2013-05-11,M,,35.6009498,-82.5540161,http://www.nbc26.tv/story/22229843/3-dead-in-buncombe-county-domestic-dispute
4600,2013-05-11,F,53.0,39.1150521,-85.8916509,http://www.wdrb.com/story/22227360/police-over-night-quadruple-homcide-in-waynesville
4601,2013-05-11,M,39.0,39.1150521,-85.8916509,http://www.wdrb.com/story/22227360/police-over-night-quadruple-homcide-in-waynesville
4602,2013-05-11,M,41.0,39.1150521,-85.8916509,http://www.wdrb.com/story/22227360/police-over-night-quadruple-homcide-in-waynesville
4603,2013-05-11,M,41.0,39.1150521,-85.8916509,http://www.wdrb.com/story/22227360/police-over-night-quadruple-homcide-in-waynesville
4604,2013-05-11,M,5.0,33.2375905,-97.1306609813245,http://www.nbcdfw.com/news/local/5-Year-Old-Shot-Saturday-by-Friend-Dies-207264551.html
4605,2013-05-11,M,17.0,40.3478472,-79.864215,http://pittsburgh.cbslocal.com/2013/05/13/high-school-mourns-teen-killed-in-hill-district-shooting/
4606,2013-05-11,M,,35.6009498,-82.5540161,http://www.wspa.com/story/22224568/one-man-killed-two-injured-in-buncombe-county-shooting
4607,2013-05-11,M,29.0,38.6272733,-90.1978889,http://stlouis.cbslocal.com/2013/05/11/st-louis-county-police-involved-in-deadly-shooting/
4608,2013-05-11,M,57.0,30.3321838,-81.655651,http://www.news4jax.com/news/police-man-killed-brother-shot-sisterinlaw/-/475880/20124034/-/115fxkiz/-/index.html
4609,2013-05-11,M,25.0,39.7589478,-84.1916069,http://www.the-review.com/ap state/2013/05/13/2-killed-at-dayton-area-nightclub
4610,2013-05-11,M,20.0,39.7589478,-84.1916069,http://www.the-review.com/ap state/2013/05/13/2-killed-at-dayton-area-nightclub
4611,2013-05-11,M,,29.9682672,-95.530660006044,http://www.khou.com/news/local/Man-shot-killed-near-access-road-on-Beltway-8-207125951.html
4612,2013-05-11,M,34.0,33.9626205,-118.181598022271,http://ktla.com/2013/05/12/man-killed-during-deputy-involved-shooting-in-cudahy/
4613,2013-05-11,M,52.0,41.4871888,-81.6778691,http://www.wkyc.com/news/article/299255/3/Cleveland-Man-shot-and-killed-on-east-side
4614,2013-05-11,M,36.0,39.952335,-75.163789,http://www.nbcphiladelphia.com/news/local/Man-Shot-Killed-Inside-Haagen-Dazs-Shop-207062361.html
4615,2013-05-11,M,21.0,27.9477595,-82.458444,http://www.abcactionnews.com/dpp/news/one-dead-one-injured-in-shooting-outside-tampa-nightclub
4616,2013-05-11,M,32.0,26.67205525,-80.6825033307995,http://www.palmbeachpost.com/news/news/crime-law/two-charged-after-being-accused-of-shooting-man-to/nXqQQ/
4617,2013-05-12,M,35.0,35.1490215,-90.0516285,http://www.commercialappeal.com/news/2013/may/14/crime-report-stepson-charged-north-memphis-shootin/
4618,2013-05-12,M,23.0,35.1490215,-90.0516285,http://www.myfoxmemphis.com/story/22234825/raleigh-man-found-shot-to-death-in-car
4619,2013-05-12,M,55.0,38.6967833,-76.8477485,http://pgpolice.blogspot.com/2013/05/pgpd-arrests-four-suspects-in-murder-of.html
4620,2013-05-12,M,43.0,36.0006178,-88.4281063,http://murder-suicide.blogspot.com/2013/05/dead-bodies-found-in-car.html
4621,2013-05-12,F,46.0,36.0006178,-88.4281063,http://murder-suicide.blogspot.com/2013/05/dead-bodies-found-in-car.html
4622,2013-05-12,F,24.0,37.7805575,-80.0308987256353,http://www.wsls.com/story/22240338/alleghany-county-deputies-searching-for-missing-mother
4623,2013-05-12,M,56.0,30.7982425,-86.4157823,http://theadvocate.com/home/5974758-125/gonzales-man-killed-on-visit
