,names,state,males,females,lat,lng,total_deaths
2796,"Manitowoc, Wisconsin",WI,1,0,44.0886059,-87.6575841,1
2797,"Milwaukee, Wisconsin",WI,91,13,43.0349931,-87.922497,104
2798,"Neenah, Wisconsin",WI,1,0,44.1858193,-88.462609,1
2799,"Neillsville, Wisconsin",WI,1,0,44.559962,-90.5962498,1
2800,"Newbold, Wisconsin",WI,1,0,45.6980101,-89.5101368,1
2801,"Oneida, Wisconsin",WI,1,0,45.6879163,-89.4779558,1
2802,"Oregon, Wisconsin",WI,1,1,42.9259657,-89.3842779,2
2803,"Oshkosh, Wisconsin",WI,1,1,44.0177132,-88.5389798,2
2804,"Pensaukee, Wisconsin",WI,1,0,44.823047,-87.9131587,1
2805,"Portage, Wisconsin",WI,1,0,44.4604931,-89.5108818,1
2806,"Pound, Wisconsin",WI,2,0,45.0941494,-88.0339927,2
2807,"Racine, Wisconsin",WI,2,1,42.7261309,-87.7828523,3
2808,"Sheboygan, Wisconsin",WI,2,0,43.7508284,-87.71453,2
2809,"Sparta, Wisconsin",WI,1,0,43.9441328,-90.8129118,1
2810,"Sugar Creek, Wisconsin",WI,1,0,42.723047,-88.469036,1
2811,"Town of Menasha, Wisconsin",WI,1,0,44.2227678,-88.4913744,1
2812,"Waukesha County, Wisconsin",WI,1,0,43.0622536,-88.3123889,1
2813,"Waupun, Wisconsin",WI,1,0,43.6333219,-88.7295519,1
2814,"West Allis, Wisconsin",WI,1,0,43.0166806,-88.0070315,1
2815,"Adams County, Wisconsin",WI,0,1,43.9451925,-89.77352304275949,1
2816,"Black River Falls, Wisconsin",WI,0,1,44.2946834,-90.8515311,1
2817,"Ladysmith, Wisconsin",WI,0,1,45.4630231,-91.1040358,1
2818,"Ledgeview, Wisconsin",WI,0,1,43.782401,-88.436602,1
2819,"Mauston, Wisconsin",WI,0,1,43.7971946,-90.0773495,1
2820,"Rock County, Wisconsin",WI,0,1,42.6691512,-89.0710591096677,1
2821,"Waukesha, Wisconsin",WI,0,1,43.0116784,-88.2314813,1
2822,"Wauwatosa, Wisconsin",WI,0,1,43.0494122,-88.0079271,1
2823,"Ardentown, Delaware",DE,1,0,39.81542705,-75.4910163200517,1
2824,"Bear, Delaware",DE,1,1,39.6292788,-75.6582628,2
2825,"Dover, Delaware",DE,1,0,39.158168,-75.5243682,1
2826,"Hampstead, Delaware",DE,1,0,39.451929,-75.70054702110141,1
2827,"Laurel, Delaware",DE,1,0,38.5980535,-75.55826673882179,1
2828,"Middletown, Delaware",DE,1,0,39.44161,-75.7250471430871,1
2829,"Milford, Delaware",DE,4,0,38.9126129,-75.4279748,4
2830,"Millsboro, Delaware",DE,1,0,38.5915023,-75.2913018,1
2831,"New Castle, Delaware",DE,1,0,39.6159851,-75.662956,1
2832,"Newark, Delaware",DE,1,0,39.6852191,-75.7508289,1
2833,"Talleyville, Delaware",DE,1,1,39.8090011,-75.548813,2
2834,"Wilmington, Delaware",DE,18,4,39.7459468,-75.546589,22
2835,"Wyoming, Delaware",DE,1,1,39.1173355,-75.5587130100677,2
2836,"New Castle County, Delaware",DE,0,1,39.5649955,-75.6476707397205,1
2837,"Asbury Park, New Jersey",NJ,4,0,40.2203907,-74.0120817,4
2838,"Atlantic City, New Jersey",NJ,3,0,39.3642852,-74.4229351,3
2839,"Atlantic County, New Jersey",NJ,2,0,39.5103345,-74.68299546527501,2
2840,"Beachwood, New Jersey",NJ,2,0,39.939007,-74.1929188,2
2841,"Belleville, New Jersey",NJ,1,0,40.7937116,-74.1501438,1
2842,"Bloomfield, New Jersey",NJ,1,0,40.806767,-74.1854226,1
2843,"Bridgeton, New Jersey",NJ,2,0,39.427337,-75.2340768,2
2844,"Burlington, New Jersey",NJ,1,0,39.9325409,-74.7226665,1
2845,"Camden, New Jersey",NJ,42,4,39.9448436,-75.1198694,46
2846,"Carneys Point, New Jersey",NJ,1,0,39.710974,-75.46739113118339,1
2847,"Clifton, New Jersey",NJ,1,0,40.8584328,-74.1637553,1
2848,"Dover, New Jersey",NJ,1,0,40.883988,-74.5621025,1
2849,"East Orange, New Jersey",NJ,4,1,40.767323,-74.2048677,5
2850,"East Rutherford, New Jersey",NJ,1,0,40.833989,-74.0970865,1
2851,"Elizabeth, New Jersey",NJ,1,0,40.6639916,-74.2107006,1
2852,"Ewing, New Jersey",NJ,1,0,40.2698302,-74.7998848,1
2853,"Fairfield, New Jersey",NJ,1,0,40.2053903,-74.2137551,1
2854,"Flemington, New Jersey",NJ,1,0,40.5123258,-74.8593318,1
2855,"Galloway, New Jersey",NJ,1,0,39.4916874,-74.50355405829279,1
2856,"Gloucester, New Jersey",NJ,1,1,39.8025,-75.0447222,2
2857,"Gloucester Township, New Jersey",NJ,1,0,39.7893,-75.04764215825618,1
2858,"Hamilton, New Jersey",NJ,1,0,40.506215,-74.6201578,1
2859,"Irvington, New Jersey",NJ,12,0,40.7323235,-74.2348684,12
2860,"Jersey City, New Jersey",NJ,16,0,40.7281575,-74.0776417,16
2861,"Kinnelon, New Jersey",NJ,1,1,41.0017644,-74.367096,2
2862,"Lacey Township, New Jersey",NJ,1,0,39.868223,-74.293966405056,1
2863,"Lakewood, New Jersey",NJ,2,0,40.091935,-74.2121987118811,2
2864,"Lindenwold, New Jersey",NJ,1,0,39.8181245,-74.9799632702931,1
2865,"Long Branch, New Jersey",NJ,1,0,40.3042778,-73.9923596,1
2866,"Magnolia, New Jersey",NJ,1,1,39.8545581,-75.0390591,2
2867,"Millburn, New Jersey",NJ,1,0,40.7248234,-74.3040373,1
2868,"Montclair, New Jersey",NJ,1,1,40.8259332,-74.2090344,2
2869,"Montgomery, New Jersey",NJ,1,1,40.4784376,-74.753773,2
2870,"New Brunswick, New Jersey",NJ,1,0,40.4862174,-74.4518173,1
2871,"New Milford, New Jersey",NJ,1,0,40.9350986,-74.0190281,1
2872,"Newark, New Jersey",NJ,73,5,40.735657,-74.1723667,78
